sample.name.match,Site,mono.mixed,cultivar,plotarea.m2,max.height.m,basal.area.m2,stand.age.yrs,ph,perc.C,watercontent,doc,p.resin,TIN,SOM,W.V,mbc,Cu,K,Mg,Mn,P,Zn,Ca,perc.N,S,perc.clay,perc.sand,MAP.mm,MAT.C,lat,lon,samp.lat,samp.lon
R99,SFA-ONE,mono,mixed unknown,10604.50,2.42,0.02,1,5.89,0.91,0.15,1.18,14.08,0.91,0.41,1.25,10.37,0.40,84.80,33.60,12.88,77.60,1.28,311.20,0.04,12.80,3.72,77.39,1245.48,15.0,35.37303,-81.68670,35.37363,-81.68665
R31,CGF-MXG,mixed-grass,unknown,3560.00,1.82,0.29,12,5.37,1.72,0.30,4.52,15.58,2.87,0.46,0.78,15.52,3.08,114.10,185.90,63.97,69.23,4.62,920.51,0.13,28.21,23.45,32.51,1116.87,15.0,35.54975,-80.65250,35.54997,-80.65303
R15,CCR-ONE,mono,Performer,4757.35,2.33,0.25,26,5.82,1.23,0.12,2.32,49.84,3.87,0.56,1.18,7.48,5.34,58.47,96.61,32.29,372.03,51.02,674.58,0.06,15.25,7.72,80.43,1177.02,15.6,35.66531,-78.51256,35.66499,-78.51268
R92,SFA-ONE,mono,mixed unknown,10604.50,2.25,0.02,1,6.50,0.90,0.14,0.30,2.10,0.71,0.32,1.09,16.61,0.55,66.06,83.49,10.37,39.45,0.92,459.63,0.06,12.84,2.89,75.46,1245.48,15.0,35.37303,-81.68670,35.37247,-81.68662
R35,CRE-MXG,mixed-grass,unknown,33957.00,1.31,0.12,3,5.22,0.76,0.08,1.78,11.95,1.45,0.32,1.25,3.26,2.24,53.60,34.40,91.20,334.40,4.64,187.20,0.03,14.40,1.59,83.24,1192.21,16.5,35.37010,-78.04424,35.36975,-78.04530
R71,MHC-ONE,mono,unknown,88.94,2.20,0.17,10,6.88,1.49,0.24,3.45,4.14,1.64,0.32,0.98,13.95,1.33,166.33,228.57,28.06,25.51,2.24,785.71,0.10,17.35,24.93,47.26,1207.84,12.9,35.41695,-82.55740,35.41687,-82.55740
S244,CGF-MXG,mixed-grass,unknown,3560.00,2.24,0.14,12,5.34,1.59,0.29,6.75,23.67,1.13,0.51,0.79,12.20,3.80,143.04,160.76,69.11,103.80,4.68,794.94,0.12,36.71,26.17,23.47,1116.87,15.0,35.54975,-80.65250,35.54986,-80.65269
R85,OTO-MXT,mixed-tree,Alamo,507.00,1.84,0.04,7,5.43,0.80,0.14,0.86,3.10,0.65,0.32,1.16,8.38,0.34,51.72,83.62,2.76,86.21,0.86,251.72,0.04,13.79,17.78,60.98,1127.55,14.9,36.30107,-78.61558,36.30114,-78.61581
R44,CRE-MXT,mixed-tree,mixed,504.00,1.94,0.05,4,5.85,0.69,0.09,0.34,4.82,0.97,0.32,1.23,3.15,0.57,43.90,51.22,81.14,222.76,2.85,230.89,0.02,8.94,10.08,78.26,1192.21,16.5,35.37047,-78.04537,35.37049,-78.04634
R50,LCO-MXT,mixed-tree,Alamo,581.00,2.19,0.09,9,4.27,4.13,0.31,6.70,1.26,2.63,4.44,0.93,23.73,0.22,32.26,24.73,0.75,43.01,0.54,100.00,0.18,30.11,4.65,67.50,1259.35,16.5,35.26327,-77.46762,35.26341,-77.46745
R54,LCO-MXT,mixed-tree,Alamo,581.00,1.99,0.04,9,4.07,8.78,0.50,6.00,1.27,5.25,8.24,0.74,45.75,0.14,56.76,29.73,0.95,27.03,0.41,217.57,0.43,39.19,17.23,47.74,1259.35,16.5,35.26327,-77.46762,35.26304,-77.46801
R84,OTO-MXT,mixed-tree,Alamo,507.00,1.98,0.06,7,5.62,1.11,0.18,0.55,2.11,1.98,0.18,1.05,16.73,0.48,47.62,180.95,6.48,59.05,1.33,466.67,0.06,17.14,18.07,58.56,1127.55,14.9,36.30107,-78.61558,36.30122,-78.61579
R1,BRF-ONE,mono,unknown,1350.00,2.43,0.10,5,5.46,0.96,0.23,0.99,0.67,1.74,0.41,1.18,12.75,0.42,44.07,93.22,30.51,30.51,2.12,314.41,0.06,11.02,5.19,70.85,1169.34,15.5,35.60368,-78.84774,35.60344,-78.84784
R51,LCO-MXT,mixed-tree,Alamo,581.00,1.55,0.02,9,4.43,4.08,0.35,3.80,0.68,1.81,6.20,0.85,23.57,0.12,30.59,21.18,0.71,27.06,0.35,64.71,0.16,23.53,9.02,52.87,1259.35,16.5,35.26327,-77.46762,35.26332,-77.46759
R111,WBI-NRT,mono,Performer,25.00,2.54,0.37,7,6.62,1.09,0.18,0.03,26.10,2.80,0.71,1.15,8.19,3.83,80.00,166.96,13.04,328.70,6.00,653.91,0.07,12.17,2.10,71.58,1300.15,16.6,34.76719,-78.10178,34.76744,-78.10192
R80,OTO-MON,mono,Alamo,66.00,2.35,0.16,8,5.49,0.85,0.18,0.05,1.91,1.73,0.32,1.17,16.08,0.94,30.77,64.96,7.35,44.44,2.31,318.80,0.04,13.68,16.07,67.19,1127.55,14.9,36.30140,-78.61235,36.30136,-78.61232
R107,UCP-MXG,mixed-grass,Alamo,1638.00,2.06,0.21,26,5.19,0.84,0.12,2.56,10.37,1.63,0.36,1.22,7.67,0.66,40.98,28.69,6.07,194.26,2.05,127.87,0.05,15.57,2.56,79.88,1166.37,15.8,35.89575,-77.67927,35.89598,-77.67953
R75,MHC-ONE,mono,unknown,88.94,2.60,0.13,10,6.42,2.40,0.24,2.67,23.45,1.81,0.60,0.97,19.25,3.09,311.34,238.14,37.53,101.03,2.58,1055.67,0.18,22.68,20.79,50.91,1207.84,12.9,35.41695,-82.55740,35.41707,-82.55731
R60,LWR-BHO,mixed-grass,unknown,3024.00,2.31,0.15,>10,5.96,1.52,0.21,1.60,3.15,2.97,0.66,1.12,8.31,0.63,141.96,113.39,10.63,191.07,4.46,657.14,0.08,15.18,5.27,68.71,1176.24,15.5,35.73513,-78.70249,35.73539,-78.70283
R34,CRE-MXG,mixed-grass,unknown,33957.00,1.44,0.13,3,5.68,0.72,0.08,0.89,8.06,0.81,0.27,1.20,10.95,1.83,74.17,42.50,123.75,230.83,4.83,236.67,0.02,11.67,2.86,81.81,1192.21,16.5,35.37010,-78.04424,35.36943,-78.04493
R88,OTO-MXT,mixed-tree,Alamo,507.00,2.24,0.04,7,5.05,0.80,0.09,0.59,0.98,0.81,0.32,1.26,2.73,0.40,42.86,48.41,3.33,67.46,1.03,157.94,0.04,13.49,15.31,66.59,1127.55,14.9,36.30107,-78.61558,36.30091,-78.61579
R14,CCR-ONE,mono,Performer,4757.35,2.61,0.31,26,6.86,0.59,0.11,0.00,9.78,1.68,0.22,1.34,8.45,1.87,30.60,82.84,10.30,123.88,17.24,385.82,0.03,8.96,7.59,85.17,1177.02,15.6,35.66531,-78.51256,35.66546,-78.51269
S245,CGF-MXG,mixed-grass,unknown,3560.00,1.82,0.29,12,5.37,1.72,0.30,4.52,15.58,2.87,0.46,0.78,15.52,3.08,114.10,185.90,63.97,69.23,4.62,920.51,0.13,28.21,23.45,32.51,1116.87,15.0,35.54975,-80.65250,35.54997,-80.65303
R9,CCR-ONE,mono,Performer,4757.35,2.69,0.60,26,6.78,1.04,0.11,0.97,38.54,2.21,0.46,1.29,6.64,5.35,37.98,107.75,24.03,274.42,34.26,699.22,0.04,10.85,8.80,82.70,1177.02,15.6,35.66531,-78.51256,35.66512,-78.51219
R49,LCO-MXT,mixed-tree,Alamo,581.00,2.10,0.04,9,4.30,4.25,0.26,4.30,1.62,2.82,4.44,0.93,24.97,0.11,35.48,24.73,0.97,48.39,0.65,95.70,0.16,24.73,6.38,54.37,1259.35,16.5,35.26327,-77.46762,35.26352,-77.46733
R68,MHC-ONE,mono,unknown,88.94,2.20,0.02,10,6.04,1.45,0.26,3.72,0.62,1.14,0.51,0.96,20.02,1.04,166.67,181.25,18.02,41.67,1.04,537.50,0.09,21.88,23.58,55.52,1207.84,12.9,35.41695,-82.55740,35.41683,-82.55748
R78,OTO-MON,mono,Alamo,66.00,2.30,0.21,8,5.37,0.64,0.15,0.49,1.93,1.92,0.32,1.12,10.50,0.89,33.93,63.39,3.75,41.96,1.61,273.21,0.03,16.07,18.32,64.35,1127.55,14.9,36.30140,-78.61235,36.30144,-78.61234
R32,CGF-MXG,mixed-grass,unknown,3560.00,2.18,0.42,12,5.52,1.86,0.30,5.13,11.57,1.35,0.41,0.85,15.80,3.53,162.35,160.00,79.88,83.53,4.82,809.41,0.13,27.06,21.56,39.21,1116.87,15.0,35.54975,-80.65250,35.55012,-80.65335
R47,CRE-MXT,mixed-tree,mixed,504.00,1.40,0.05,4,5.27,0.73,0.09,2.43,4.13,1.43,0.22,1.23,10.88,0.57,30.89,27.64,71.06,204.07,1.71,111.38,0.02,11.38,11.15,76.63,1192.21,16.5,35.37047,-78.04537,35.36984,-78.04415
R113,WBI-NRT,mono,Performer,25.00,2.34,0.15,7,6.48,1.01,0.15,0.00,22.04,2.25,0.76,1.16,11.10,3.62,50.86,142.24,12.84,330.17,6.29,568.97,0.06,12.07,2.10,74.75,1300.15,16.6,34.76719,-78.10178,34.76747,-78.10190
R33,CRE-MXG,mixed-grass,unknown,33957.00,1.76,0.10,3,4.44,0.72,0.07,2.45,13.17,1.09,0.27,1.30,9.26,1.54,50.00,20.00,74.69,376.92,2.54,120.77,0.03,13.85,2.93,82.62,1192.21,16.5,35.37010,-78.04424,35.36958,-78.04443
R90,OTO-MXT,mixed-tree,Alamo,507.00,2.23,0.07,7,5.25,0.95,0.14,2.61,1.41,0.87,0.22,1.12,4.99,0.54,53.57,108.93,1.43,49.11,0.89,272.32,0.03,16.96,20.98,63.67,1127.55,14.9,36.30107,-78.61558,36.30075,-78.61578
R53,LCO-MXT,mixed-tree,Alamo,581.00,2.13,0.02,9,4.00,8.56,0.41,3.69,2.65,5.15,7.45,0.81,66.60,0.12,59.26,37.04,1.11,34.57,0.86,166.67,0.42,35.80,9.22,57.61,1259.35,16.5,35.26327,-77.46762,35.26314,-77.46788
R110,WBI-NRT,mono,Performer,25.00,2.72,0.57,7,6.50,0.91,0.17,1.30,17.80,2.85,0.32,1.12,12.13,4.02,112.50,133.04,11.88,233.04,5.18,583.04,0.06,12.50,2.50,78.60,1300.15,16.6,34.76719,-78.10178,34.76713,-78.10215
R105,UCP-MXG,mixed-grass,Alamo,1638.00,2.64,0.69,26,4.73,1.26,0.14,3.90,9.88,1.90,0.86,1.14,5.43,1.23,42.11,30.70,10.44,460.53,2.81,171.05,0.07,28.95,3.84,72.86,1166.37,15.8,35.89575,-77.67927,35.89586,-77.67942
R74,MHC-ONE,mono,unknown,88.94,2.40,0.08,10,6.38,2.62,0.30,2.45,2.16,0.65,0.46,0.94,16.20,2.77,278.72,205.32,32.98,81.91,2.23,892.55,0.20,22.34,22.89,52.51,1207.84,12.9,35.41695,-82.55740,35.41706,-82.55732
R27,CGF-MXG,mixed-grass,unknown,3560.00,2.10,0.05,12,5.33,1.79,0.29,3.88,24.54,1.04,0.46,0.81,13.23,3.83,159.26,180.25,66.05,108.64,5.56,817.28,0.09,29.63,21.48,33.40,1116.87,15.0,35.54975,-80.65250,35.54952,-80.65168
R24,CGF-MON,mono,Alamo,2880.00,2.35,0.09,9,6.81,2.56,0.26,5.17,4.49,2.09,0.56,0.89,12.85,5.96,98.88,335.96,55.51,46.07,6.74,1452.81,0.19,23.60,16.68,54.13,1116.87,15.0,35.55360,-80.65369,35.55348,-80.65315
R42,CRE-MXT,mixed-tree,mixed,504.00,2.20,0.03,4,5.77,0.63,0.12,1.22,4.29,1.26,0.22,1.14,1.62,0.70,61.40,54.39,88.07,157.02,2.02,252.63,0.03,10.53,11.92,71.87,1192.21,16.5,35.37047,-78.04537,35.37099,-78.04774
R21,CGF-MON,mono,Alamo,2880.00,2.12,0.10,9,7.00,3.86,0.35,6.59,10.19,2.13,0.32,0.79,8.03,5.70,98.73,444.30,29.62,44.30,8.10,1788.61,0.28,32.91,37.00,42.96,1116.87,15.0,35.55360,-80.65369,35.55358,-80.65350
S246,CGF-MXG,mixed-grass,unknown,3560.00,2.18,0.42,12,5.52,1.86,0.30,5.13,11.57,1.35,0.41,0.85,15.80,3.53,162.35,160.00,79.88,83.53,4.82,809.41,0.13,27.06,21.56,39.21,1116.87,15.0,35.54975,-80.65250,35.55012,-80.65335
R28,CGF-MXG,mixed-grass,unknown,3560.00,2.06,0.10,12,5.65,1.75,0.29,3.26,18.34,0.69,0.46,0.80,13.23,4.88,131.25,203.75,78.13,120.00,6.50,1228.75,0.12,30.00,24.69,24.05,1116.87,15.0,35.54975,-80.65250,35.54963,-80.65202
R11,CCR-ONE,mono,Performer,4757.35,2.39,0.14,26,7.01,1.01,0.14,0.83,10.37,2.58,0.22,1.23,13.72,3.09,45.53,143.09,12.93,141.46,25.93,545.53,0.04,9.76,9.13,80.69,1177.02,15.6,35.66531,-78.51256,35.66552,-78.51244
R73,MHC-ONE,mono,unknown,88.94,2.46,0.18,10,6.67,2.15,0.31,1.88,18.07,0.89,0.41,0.95,18.80,2.21,272.63,205.26,33.89,65.26,2.11,867.37,0.16,18.95,24.03,48.14,1207.84,12.9,35.41695,-82.55740,35.41707,-82.55735
R61,LWR-BHO,mixed-grass,unknown,3024.00,2.53,0.16,>10,6.22,1.64,0.22,2.26,15.92,0.94,0.46,1.06,13.08,2.08,129.25,134.91,16.13,277.36,4.06,885.85,0.09,14.15,10.59,71.50,1176.24,15.5,35.73513,-78.70249,35.73556,-78.70280
R57,LWR-BHO,mixed-grass,unknown,3024.00,2.29,0.14,>10,6.11,0.97,0.17,0.35,2.71,0.96,0.60,1.17,5.00,0.43,62.39,104.27,14.44,239.32,2.91,668.38,0.05,12.82,7.95,64.90,1176.24,15.5,35.73513,-78.70249,35.73518,-78.70255
R98,SFA-ONE,mono,mixed unknown,10604.50,2.20,0.03,1,5.40,1.16,0.13,2.13,0.02,0.64,0.41,1.22,10.43,0.41,40.16,28.69,9.51,13.11,0.33,221.31,0.04,24.59,11.05,69.49,1245.48,15.0,35.37303,-81.68670,35.37346,-81.68686
S247,CRE-MXT,mixed-tree,mixed,504.00,1.94,0.05,4,5.85,0.69,0.09,0.34,4.82,0.97,0.32,1.23,3.15,0.57,43.90,51.22,81.14,222.76,2.85,230.89,0.02,8.94,10.08,78.26,1192.21,16.5,35.37047,-78.04537,35.37049,-78.04634
R3,BRF-ONE,mono,unknown,1350.00,2.36,0.11,5,5.80,1.22,0.26,2.44,0.00,1.72,0.36,1.13,12.39,0.44,70.80,109.73,24.34,21.24,1.95,416.81,0.07,12.39,7.44,66.90,1169.34,15.5,35.60368,-78.84774,35.60353,-78.84770
R95,SFA-ONE,mono,mixed unknown,10604.50,2.24,0.02,1,5.94,1.03,0.13,1.36,1.91,0.53,0.41,1.13,12.77,0.53,80.53,62.83,14.25,44.25,1.06,385.84,0.06,14.16,1.64,69.79,1245.48,15.0,35.37303,-81.68670,35.37296,-81.68656
R8,BRF-ONE,mono,unknown,1350.00,2.74,0.16,5,5.86,0.96,0.21,1.63,2.71,1.28,0.27,1.12,10.38,0.45,39.29,134.82,23.13,11.61,1.43,483.04,0.05,11.61,12.16,70.75,1169.34,15.5,35.60368,-78.84774,35.60376,-78.84778
R16,CCR-ONE,mono,Performer,4757.35,2.82,0.38,26,6.29,0.72,0.13,0.95,18.95,2.69,0.27,1.33,7.79,3.38,40.60,64.66,11.58,200.75,29.25,426.32,0.04,10.53,9.96,82.01,1177.02,15.6,35.66531,-78.51256,35.66535,-78.51284
R30,CGF-MXG,mixed-grass,unknown,3560.00,2.24,0.14,12,5.34,1.59,0.29,6.75,23.67,1.13,0.51,0.79,12.20,3.80,143.04,160.76,69.11,103.80,4.68,794.94,0.12,36.71,26.17,23.47,1116.87,15.0,35.54975,-80.65250,35.54986,-80.65269
R82,OTO-MON,mono,Alamo,66.00,2.10,0.08,8,5.71,0.73,0.18,0.43,3.81,1.04,0.22,1.21,13.01,1.07,30.58,35.54,5.21,79.34,2.48,225.62,0.04,12.40,13.13,71.11,1127.55,14.9,36.30140,-78.61235,36.30131,-78.61225
R81,OTO-MON,mono,Alamo,66.00,2.03,0.10,8,5.68,0.78,0.15,0.00,1.94,1.55,0.27,1.16,12.97,1.03,27.59,58.62,5.43,51.72,2.07,305.17,0.03,13.79,16.99,70.26,1127.55,14.9,36.30140,-78.61235,36.30134,-78.61231
R38,CRE-MXG,mixed-grass,unknown,33957.00,1.86,0.03,3,5.72,0.92,0.18,2.50,6.40,1.73,0.27,1.01,11.60,1.19,63.37,96.04,47.13,85.15,3.37,504.95,0.05,13.86,4.56,66.61,1192.21,16.5,35.37010,-78.04424,35.36970,-78.04669
R46,CRE-MXT,mixed-tree,mixed,504.00,1.71,0.02,4,5.76,1.34,0.22,1.05,0.11,1.34,0.46,1.09,6.25,0.83,65.14,101.83,95.14,33.94,3.94,484.40,0.07,15.60,15.40,67.58,1192.21,16.5,35.37047,-78.04537,35.37102,-78.04516
R83,OTO-MON,mono,Alamo,66.00,2.16,0.14,8,5.47,0.75,0.21,0.61,5.02,1.58,0.22,1.22,14.73,1.97,31.15,38.52,6.56,92.62,3.11,218.03,0.05,13.93,13.92,67.97,1127.55,14.9,36.30140,-78.61235,36.30127,-78.61227
R96,SFA-ONE,mono,mixed unknown,10604.50,2.27,0.02,1,5.73,0.78,0.14,2.16,0.07,0.35,0.41,1.21,11.83,0.25,29.75,35.54,10.08,15.70,0.66,294.21,0.03,16.53,4.06,75.85,1245.48,15.0,35.37303,-81.68670,35.37313,-81.68685
R102,UCP-MXG,mixed-grass,Alamo,1638.00,1.95,0.04,26,4.95,1.48,0.09,0.96,6.37,1.76,1.02,1.25,8.73,0.56,60.00,32.80,7.92,176.00,2.24,130.40,0.07,15.20,2.49,81.33,1166.37,15.8,35.89575,-77.67927,35.89573,-77.67915
S248,CRE-MXT,mixed-tree,mixed,504.00,1.88,0.02,4,5.68,1.27,0.22,2.31,0.23,1.01,0.46,1.15,3.54,0.87,37.39,88.70,68.09,26.96,4.35,465.22,0.05,12.17,15.35,66.43,1192.21,16.5,35.37047,-78.04537,35.37108,-78.04527
S249,CRE-MXT,mixed-tree,mixed,504.00,1.71,0.02,4,5.76,1.34,0.22,1.05,0.11,1.34,0.46,1.09,6.25,0.83,65.14,101.83,95.14,33.94,3.94,484.40,0.07,15.60,15.40,67.58,1192.21,16.5,35.37047,-78.04537,35.37102,-78.04516
S238,WBI-NRT,mono,Performer,25.00,2.54,0.37,7,6.62,1.09,0.18,0.03,26.10,2.80,0.71,1.15,8.19,3.83,80.00,166.96,13.04,328.70,6.00,653.91,0.07,12.17,2.10,71.58,1300.15,16.6,34.76719,-78.10178,34.76744,-78.10192
S239,WBI-NRT,mono,Performer,25.00,2.34,0.15,7,6.48,1.01,0.15,0.00,22.04,2.25,0.76,1.16,11.10,3.62,50.86,142.24,12.84,330.17,6.29,568.97,0.06,12.07,2.10,74.75,1300.15,16.6,34.76719,-78.10178,34.76747,-78.10190
S1,BRF-ONE,mono,unknown,1350.00,2.43,0.10,5,5.46,0.96,0.23,0.99,0.67,1.74,0.41,1.18,12.75,0.42,44.07,93.22,30.51,30.51,2.12,314.41,0.06,11.02,5.19,70.85,1169.34,15.5,35.60368,-78.84774,35.60344,-78.84784
S13,BRF-ONE,mono,unknown,1350.00,2.82,0.16,5,5.56,0.85,0.18,1.68,1.62,1.10,0.32,1.16,8.27,0.26,32.76,67.24,30.69,18.10,1.55,280.17,0.05,11.21,4.64,73.87,1169.34,15.5,35.60368,-78.84774,35.60371,-78.84763
S25,CCR-ONE,mono,Performer,4757.35,2.47,0.22,26,6.10,1.05,0.10,1.81,26.10,2.03,0.41,1.30,3.90,3.31,33.08,103.08,22.00,250.00,31.08,615.38,0.05,13.85,7.43,83.62,1177.02,15.6,35.66531,-78.51256,35.66502,-78.51251
S37,CGF-MON,mono,Alamo,2880.00,2.13,0.04,9,6.94,2.47,0.41,9.02,0.58,1.96,0.27,0.77,8.87,9.09,116.88,483.12,24.42,92.21,9.48,1744.16,0.20,31.17,36.33,44.75,1116.87,15.0,35.55360,-80.65369,35.55368,-80.65373
S49,CGF-MXG,mixed-grass,unknown,3560.00,1.50,0.02,12,5.53,1.81,0.32,5.65,0.56,1.02,0.51,0.78,14.33,4.49,178.21,208.97,69.74,146.15,6.03,1112.82,0.14,32.05,23.21,25.03,1116.87,15.0,35.54975,-80.65250,35.54925,-80.65102
S240,WBI-NRT,mono,Performer,25.00,2.31,0.29,7,6.41,1.18,0.14,1.05,18.74,3.36,0.60,1.09,5.16,3.39,121.10,131.19,10.92,287.16,4.59,542.20,0.07,13.76,2.18,80.78,1300.15,16.6,34.76719,-78.10178,34.76718,-78.10119
S73,CRE-MXG,mixed-grass,unknown,33957.00,1.67,0.04,3,5.98,0.75,0.06,0.28,5.94,1.77,0.22,1.29,10.61,1.55,89.92,62.02,54.96,258.91,3.80,195.35,0.03,9.30,2.50,85.91,1192.21,16.5,35.37010,-78.04424,35.37000,-78.04615
S85,CRE-MXT,mixed-tree,mixed,504.00,2.23,0.07,4,5.89,0.66,0.09,0.74,9.16,1.06,0.32,1.18,4.73,0.93,47.46,54.24,111.86,276.27,2.97,304.24,0.03,11.02,11.45,77.74,1192.21,16.5,35.37047,-78.04537,35.37049,-78.04647
S3,BRF-ONE,mono,unknown,1350.00,2.24,0.09,5,5.62,1.18,0.22,2.97,0.00,1.61,0.36,1.13,9.54,0.53,53.10,119.47,19.56,12.39,1.68,474.34,0.09,14.16,9.87,63.77,1169.34,15.5,35.60368,-78.84774,35.60349,-78.84763
S15,BRF-ONE,mono,unknown,1350.00,2.74,0.16,5,5.86,0.96,0.21,1.63,2.71,1.28,0.27,1.12,10.38,0.45,39.29,134.82,23.13,11.61,1.43,483.04,0.05,11.61,12.16,70.75,1169.34,15.5,35.60368,-78.84774,35.60376,-78.84778
S27,CCR-ONE,mono,Performer,4757.35,2.61,0.31,26,6.86,0.59,0.11,0.00,9.78,1.68,0.22,1.34,8.45,1.87,30.60,82.84,10.30,123.88,17.24,385.82,0.03,8.96,7.59,85.17,1177.02,15.6,35.66531,-78.51256,35.66546,-78.51269
S39,CGF-MON,mono,Alamo,2880.00,1.72,0.03,9,6.82,3.06,0.37,6.25,6.08,2.30,0.18,0.79,7.84,4.30,79.75,358.23,19.11,24.05,3.42,1440.51,0.24,40.51,39.22,43.43,1116.87,15.0,35.55360,-80.65369,35.55369,-80.65360
S51,CGF-MXG,mixed-grass,unknown,3560.00,2.00,0.41,12,5.71,2.34,0.33,5.61,10.82,1.04,0.41,0.80,12.84,3.63,141.25,220.00,75.13,75.00,5.63,985.00,0.16,26.25,23.92,28.12,1116.87,15.0,35.54975,-80.65250,35.54937,-80.65136
S241,CGF-MON,mono,Alamo,2880.00,2.27,0.16,9,6.61,2.55,0.44,7.59,18.37,1.30,0.27,0.85,17.06,6.35,75.29,281.18,20.71,55.29,6.24,1489.41,0.19,27.06,45.16,38.61,1116.87,15.0,35.55360,-80.65369,35.55379,-80.65395
S75,CRE-MXG,mixed-grass,unknown,33957.00,1.86,0.03,3,5.72,0.92,0.18,2.50,6.40,1.73,0.27,1.01,11.60,1.19,63.37,96.04,47.13,85.15,3.37,504.95,0.05,13.86,4.56,66.61,1192.21,16.5,35.37010,-78.04424,35.36970,-78.04669
S242,CGF-MON,mono,Alamo,2880.00,2.14,0.13,9,6.60,2.31,0.33,8.21,2.11,0.80,0.27,0.84,12.14,5.24,60.71,294.05,34.40,32.14,4.52,1116.67,0.18,30.95,30.72,40.66,1116.87,15.0,35.55360,-80.65369,35.55367,-80.65324
S5,BRF-ONE,mono,unknown,1350.00,2.36,0.11,5,5.80,1.22,0.26,2.44,0.00,1.72,0.36,1.13,12.39,0.44,70.80,109.73,24.34,21.24,1.95,416.81,0.07,12.39,7.44,66.90,1169.34,15.5,35.60368,-78.84774,35.60353,-78.84770
S29,CCR-ONE,mono,Performer,4757.35,2.69,0.60,26,6.78,1.04,0.11,0.97,38.54,2.21,0.46,1.29,6.64,5.35,37.98,107.75,24.03,274.42,34.26,699.22,0.04,10.85,8.80,82.70,1177.02,15.6,35.66531,-78.51256,35.66512,-78.51219
S17,CCR-ONE,mono,Performer,4757.35,2.33,0.25,26,5.82,1.23,0.12,2.32,49.84,3.87,0.56,1.18,7.48,5.34,58.47,96.61,32.29,372.03,51.02,674.58,0.06,15.25,7.72,80.43,1177.02,15.6,35.66531,-78.51256,35.66499,-78.51268
